Package                   Version  Latest       Type
------------------------- -------- ------------ -----
absl-py                   1.4.0    2.0.0        wheel
aiohttp                   3.8.4    3.9.1        wheel
altgraph                  0.17.3   0.17.4       wheel
anyio                     3.6.2    4.1.0        wheel
argon2-cffi               21.3.0   23.1.0       wheel
arrow                     1.2.3    1.3.0        wheel
asgiref                   3.6.0    3.7.2        wheel
asttokens                 2.2.1    2.4.1        wheel
async-timeout             4.0.2    4.0.3        wheel
bleach                    6.0.0    6.1.0        wheel
blis                      0.7.9    0.9.1        wheel
cachetools                5.3.0    5.3.2        wheel
catalogue                 2.0.8    2.0.10       wheel
cffi                      1.15.1   1.16.0       wheel
click                     8.1.3    8.1.7        wheel
comm                      0.1.3    0.2.0        wheel
confection                0.0.4    0.1.4        wheel
configparser              5.3.0    6.0.0        wheel
contourpy                 1.0.7    1.2.0        wheel
cryptography              40.0.2   41.0.7       wheel
cssutils                  2.6.0    2.9.0        wheel
cycler                    0.11.0   0.12.1       wheel
cymem                     2.0.7    2.0.8        wheel
dataframe-image           0.1.11   0.2.3        wheel
debugpy                   1.6.7    1.8.0        wheel
decorator                 4.4.2    5.1.1        wheel
Django                    4.2.1    5.0          wheel
dogpile.cache             1.2.0    1.2.2        wheel
emoji                     2.2.0    2.9.0        wheel
etelemetry                0.3.0    0.3.1        wheel
exceptiongroup            1.1.3    1.2.0        wheel
executing                 1.2.0    2.0.1        wheel
fastjsonschema            2.16.3   2.19.0       wheel
Fiona                     1.9.3    1.9.5        wheel
flatbuffers               23.3.3   23.5.26      wheel
fonttools                 4.39.3   4.46.0       wheel
freetype-py               2.3.0    2.4.0        wheel
frozenlist                1.3.3    1.4.0        wheel
geojson                   3.0.1    3.1.0        wheel
geopandas                 0.13.0   0.14.1       wheel
geopy                     2.3.0    2.4.1        wheel
getmac                    0.9.3    0.9.4        wheel
google-api-core           2.11.0   2.15.0       wheel
google-api-python-client  2.86.0   2.111.0      wheel
google-auth               2.17.3   2.25.2       wheel
google-auth-httplib2      0.1.0    0.2.0        wheel
google-auth-oauthlib      1.0.0    1.2.0        wheel
googleapis-common-protos  1.59.0   1.62.0       wheel
h2                        3.2.0    4.1.0        wheel
hpack                     3.0.0    4.0.0        wheel
html2image                2.0.3    2.0.4.3      wheel
httpcore                  0.9.1    1.0.2        wheel
httpx                     0.13.3   0.25.2       wheel
hyperframe                5.2.0    6.0.1        wheel
idna                      3.4      3.6          wheel
imageio                   2.28.1   2.33.1       wheel
imageio-ffmpeg            0.4.8    0.4.9        wheel
importlib-metadata        6.6.0    7.0.0        wheel
ipykernel                 6.22.0   6.27.1       wheel
ipython                   8.13.2   8.18.1       wheel
ipywidgets                8.0.6    8.1.1        wheel
jaraco.classes            3.2.3    3.3.0        wheel
jedi                      0.18.2   0.19.1       wheel
joblib                    1.2.0    1.3.2        wheel
jsonpointer               2.3      2.4          wheel
jsonschema                4.17.3   4.20.0       wheel
jupyter_client            8.2.0    8.6.0        wheel
jupyter_core              5.3.0    5.5.0        wheel
jupyter-events            0.6.3    0.9.0        wheel
jupyter_server            2.5.0    2.12.1       wheel
jupyter_server_terminals  0.4.4    0.5.0        wheel
jupyterlab-pygments       0.2.2    0.3.0        wheel
jupyterlab-widgets        3.0.7    3.0.9        wheel
keyring                   23.13.1  24.3.0       wheel
kiwisolver                1.4.4    1.4.5        wheel
Levenshtein               0.21.0   0.23.0       wheel
looseversion              1.1.2    1.3.0        wheel
lxml                      4.9.2    4.9.3        wheel
macholib                  1.16.2   1.16.3       wheel
MarkupSafe                2.1.2    2.1.3        wheel
matplotlib                3.7.1    3.8.2        wheel
mediapipe                 0.9.3.0  0.10.8       wheel
mistune                   2.0.5    3.0.2        wheel
mock                      5.0.2    5.1.0        wheel
more-itertools            9.1.0    10.1.0       wheel
msal                      1.22.0   1.26.0       wheel
munch                     2.5.0    4.0.0        wheel
murmurhash                1.0.9    1.0.10       wheel
nbclient                  0.7.4    0.9.0        wheel
nbconvert                 7.3.1    7.12.0       wheel
nbformat                  5.8.0    5.9.2        wheel
nest-asyncio              1.5.6    1.5.8        wheel
networkx                  3.1      3.2.1        wheel
nibabel                   5.1.0    5.2.0        wheel
notebook                  6.5.4    7.0.6        wheel
numpy                     1.24.3   1.26.2       wheel
openai                    0.27.6   1.3.9        wheel
opencv-contrib-python     4.7.0.72 4.8.1.78     wheel
opencv-python             4.7.0.72 4.8.1.78     wheel
osmnx                     1.3.0    1.8.0        wheel
pandas                    2.0.1    2.1.4        wheel
parse                     1.19.1   1.20.0       wheel
pathy                     0.10.1   0.10.3       wheel
pbr                       5.11.1   6.0.0        wheel
pexpect                   4.8.0    4.9.0        wheel
Pillow                    9.5.0    10.1.0       wheel
platformdirs              4.0.0    4.1.0        wheel
preshed                   3.0.8    3.0.9        wheel
prometheus-client         0.16.0   0.19.0       wheel
prompt-toolkit            3.0.38   3.0.42       wheel
psutil                    5.9.5    5.9.6        wheel
pyasn1                    0.5.0    0.5.1        wheel
pycairo                   1.23.0   1.25.1       sdist
pycryptodomex             3.17     3.19.0       wheel
pydantic                  1.10.7   2.5.2        wheel
PyDrive2                  1.15.3   1.18.0       wheel
Pygments                  2.16.1   2.17.2       wheel
pyinstaller               5.10.1   6.3.0        wheel
pyinstaller-hooks-contrib 2023.2   2023.10      wheel
PyJWT                     2.6.0    2.8.0        wheel
PyMySQL                   1.0.3    1.1.0        wheel
pyobjc-core               10.0     10.1         wheel
pyobjc-framework-Cocoa    10.0     10.1         wheel
pyobjc-framework-Quartz   10.0     10.1         wheel
pyOpenSSL                 23.1.1   23.3.0       wheel
pyparsing                 3.0.9    3.1.1        wheel
pypdf                     3.8.1    3.17.2       wheel
pyproj                    3.5.0    3.6.1        wheel
pyrsistent                0.19.3   0.20.0       wheel
pytest-html               2.0.1    4.1.1        wheel
pytest-rerunfailures      12.0     13.0         wheel
pytest-xdist              3.4.0    3.5.0        wheel
python-Levenshtein        0.21.0   0.23.0       wheel
pytz                      2023.3   2023.3.post1 wheel
pyxnat                    1.5      1.6          wheel
PyYAML                    6.0      6.0.1        wheel
pyzmq                     25.0.2   25.1.2       wheel
rapidfuzz                 3.0.0    3.5.2        wheel
rdflib                    6.3.2    7.0.0        wheel
redis                     4.6.0    5.0.1        wheel
responses                 0.23.1   0.24.1       wheel
rfc3986                   1.5.0    2.0.0        wheel
rlPyCairo                 0.2.0    0.3.0        wheel
Rtree                     1.0.1    1.1.0        wheel
schedule                  1.2.0    1.2.1        wheel
scikit-learn              1.2.2    1.3.2        wheel
scipy                     1.10.1   1.11.4       wheel
selenium                  4.15.2   4.16.0       wheel
seleniumbase              4.21.4   4.22.0       wheel
setuptools-rust           1.6.0    1.8.1        wheel
setuptools-scm            7.1.0    8.0.4        wheel
shapely                   2.0.1    2.0.2        wheel
simplejson                3.19.1   3.19.2       wheel
smart-open                6.3.0    6.4.0        wheel
spacy                     3.5.4    3.7.2        wheel
spacy-loggers             1.0.4    1.0.5        wheel
srsly                     2.4.6    2.4.8        wheel
stack-data                0.6.2    0.6.3        wheel
stevedore                 5.0.0    5.1.0        wheel
sympy                     1.11.1   1.12         wheel
terminado                 0.17.1   0.18.0       wheel
thinc                     8.1.10   8.2.1        wheel
threadpoolctl             3.1.0    3.2.0        wheel
torch                     2.0.0    2.1.1        wheel
tornado                   6.3.1    6.4          wheel
tqdm                      4.65.0   4.66.1       wheel
traitlets                 5.9.0    5.14.0       wheel
traits                    6.3.2    6.4.3        wheel
types-PyYAML              6.0.12.9 6.0.12.12    wheel
typing_extensions         4.5.0    4.9.0        wheel
uri-template              1.2.0    1.3.0        wheel
urllib3                   2.0.2    2.1.0        wheel
wasabi                    1.1.1    1.1.2        wheel
wcwidth                   0.2.6    0.2.12       wheel
webdriver-manager         3.8.6    4.0.1        wheel
websocket-client          1.5.1    1.7.0        wheel
wheel                     0.41.3   0.42.0       wheel
widgetsnbextension        4.0.7    4.0.9        wheel
yapf                      0.33.0   0.40.2       wheel
yarl                      1.9.2    1.9.4        wheel
yeelight                  0.7.10   0.7.14       wheel
zipp                      3.15.0   3.17.0       wheel
